OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,BoroName,NTACode,NTAName,CounDist,Postcode,BoroCD,CT2010,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
337,BK,Free,BPL,Brighton Beach - Brooklyn Public Library,16 BRIGHTON 1 ROAD,40.57610775,-73.96677488,"993,479.81","149,169.78",Library,,Brooklyn,BPLUNWIRED,,,3,Brooklyn,BK19,Brighton Beach,48,"11,235",313,"36,001","3,036,001","3,245,028","3,086,800,032",418,"Brooklyn
(40.57610774700, -73.96677487620)"
427,BK,Free,BPL,Coney Island - Brooklyn Public Library,1901 MERMAID AVENUE,40.57663778,-73.98606199,"988,121.89","149,361.44",Library,,Brooklyn,BPLUNWIRED,,,3,Brooklyn,BK21,Seagate-Coney Island,47,"11,224",313,326,"3,032,600","3,189,001","3,070,190,043",517,"Brooklyn
(40.57663777610, -73.98606199260)"
733,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL  1/P/W/O GIRARD ST,40.57776,-73.94556,"999,372.85","149,774.69",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,230,"Brooklyn
(40.57776000000, -73.94556000000)"
734,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,C/O ORIENTAL BL  /IRWIN ST,40.57798,-73.94355,"999,931.15","149,855.19",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,231,"Brooklyn
(40.57798000000, -73.94355000000)"
735,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ROOF OF BEACH HOUSE EAST SIDE,40.57696,-73.94359,"999,920.28","149,483.57",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600","3,347,138","3,087,600,485",232,"Brooklyn
(40.57696000000, -73.94359000000)"
736,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ROOF OF BEACH HOUSE WEST SIDE,40.57687,-73.94459,"999,642.51","149,450.61",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600","3,347,138","3,087,600,485",233,"Brooklyn
(40.57687000000, -73.94459000000)"
737,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL  1/P/W/O KENSINGTON ST,40.57817,-73.94182,"1,000,411.68","149,924.73",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,234,"Brooklyn
(40.57817000000, -73.94182000000)"
738,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL  1/P/W/O LANGHAMST,40.57829,-73.94091,"1,000,664.43","149,968.62",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,235,"Brooklyn
(40.57829000000, -73.94091000000)"
739,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL  1/P/W/O NORFOLK ST,40.57843,-73.93907,"1,001,175.53","150,019.97",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600",0,0,236,"Brooklyn
(40.57843000000, -73.93907000000)"
740,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL 1/P/W/O MCKENZIE ST,40.57838,-73.93992,"1,000,939.42","150,001.59",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,237,"Brooklyn
(40.57838000000, -73.93992000000)"
741,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL  1/P/W/O JAFFRAY AV,40.57811,-73.94273,"1,000,158.91","149,902.70",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,238,"Brooklyn
(40.57811000000, -73.94273000000)"
742,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL 1/P/W/O HASTINGS ST,40.57787,-73.9446,"999,639.50","149,814.93",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,620,"3,062,000",0,0,239,"Brooklyn
(40.57787000000, -73.94460000000)"
743,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ORIENTAL BL 1/P/E/O OCEAN AV,40.57622,-73.94552,"999,384.31","149,213.63",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600",0,"3,087,600,485",240,"Brooklyn
(40.57622000000, -73.94552000000)"
744,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,OCEAN AV 4/P/S/O ORIENTAL BL,40.5761,-73.94698,"998,978.75","149,169.67",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600",0,0,241,"Brooklyn
(40.57610000000, -73.94698000000)"
745,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ROOF OF BEACH HOUSE EAST SIDE,40.57696,-73.94359,"999,920.28","149,483.57",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600","3,347,138","3,087,600,485",242,"Brooklyn
(40.57696000000, -73.94359000000)"
746,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ROOF OF BEACH HOUSE EAST SIDE,40.57696,-73.94359,"999,920.28","149,483.57",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600","3,347,138","3,087,600,485",243,"Brooklyn
(40.57696000000, -73.94359000000)"
747,BK,Limited Free,ALTICEUSA,Manhattan Beach Park,ROOF OF BEACH HOUSE WEST SIDE,40.57687,-73.94459,"999,642.51","149,450.61",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,48,"11,235",315,616,"3,061,600","3,347,138","3,087,600,485",244,"Brooklyn
(40.57687000000, -73.94459000000)"
960,BK,Limited Free,ALTICEUSA,Steeplechase Park,W 17TH ST 1 P/N/O SURF AV,40.576111,-73.984734,"988,490.84","149,169.58",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK21,Seagate-Coney Island,47,"11,224",313,326,"3,032,600",0,0,1387,"Brooklyn
(40.57611100000, -73.98473400000)"
961,BK,Limited Free,ALTICEUSA,Steeplechase Park,W 16TH ST 1 P/N/O SURF AV,40.57585,-73.9835,"988,833.65","149,074.56",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK21,Seagate-Coney Island,47,"11,224",313,348,"3,034,800",0,0,1388,"Brooklyn
(40.57585000000, -73.98350000000)"
962,BK,Limited Free,ALTICEUSA,Steeplechase Park,W 19TH ST 1 P/N/O SURF AV,40.57564,-73.98567,"988,230.85","148,997.94",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK21,Seagate-Coney Island,47,"11,224",313,326,"3,032,600",0,0,1389,"Brooklyn
(40.57564000000, -73.98567000000)"
1378,BK,Limited Free,ALTICEUSA,Coney Island Beach & Boardwalk,W 15TH ST -5/P/S/O SURF AV,40.573739,-73.981894,"989,279.95","148,305.56",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,,3,Brooklyn,BK21,Seagate-Coney Island,47,"11,224",313,352,"3,035,200",0,0,1238,"Brooklyn
(40.57373900000, -73.98189400000)"
